*font-awesome.txt*  Nerd Font Cheatsheets - Font Awesome

===============================================================================
																*font-awesome*
Nerd Font - Font Awesome ~

| Decimal | Unicode | Glyph |
| 61517   | \uf04d  |      | *nerdfont-61517* *nerdfont-uf04d* *nerdfont-*
| 61518   | \uf04e  |      | *nerdfont-61518* *nerdfont-uf04e* *nerdfont-*
| 61520   | \uf050  |      | *nerdfont-61520* *nerdfont-uf050* *nerdfont-*
| 61521   | \uf051  |      | *nerdfont-61521* *nerdfont-uf051* *nerdfont-*
| 61522   | \uf052  |      | *nerdfont-61522* *nerdfont-uf052* *nerdfont-*
| 61523   | \uf053  |      | *nerdfont-61523* *nerdfont-uf053* *nerdfont-*
| 61524   | \uf054  |      | *nerdfont-61524* *nerdfont-uf054* *nerdfont-*
| 61525   | \uf055  |      | *nerdfont-61525* *nerdfont-uf055* *nerdfont-*
| 61526   | \uf056  |      | *nerdfont-61526* *nerdfont-uf056* *nerdfont-*
| 61527   | \uf057  |      | *nerdfont-61527* *nerdfont-uf057* *nerdfont-*
| 61528   | \uf058  |      | *nerdfont-61528* *nerdfont-uf058* *nerdfont-*
| 61529   | \uf059  |      | *nerdfont-61529* *nerdfont-uf059* *nerdfont-*
| 61530   | \uf05a  |      | *nerdfont-61530* *nerdfont-uf05a* *nerdfont-*
| 61531   | \uf05b  |      | *nerdfont-61531* *nerdfont-uf05b* *nerdfont-*
| 61532   | \uf05c  |      | *nerdfont-61532* *nerdfont-uf05c* *nerdfont-*
| 61533   | \uf05d  |      | *nerdfont-61533* *nerdfont-uf05d* *nerdfont-*
| 61534   | \uf05e  |      | *nerdfont-61534* *nerdfont-uf05e* *nerdfont-*
| 61536   | \uf060  |      | *nerdfont-61536* *nerdfont-uf060* *nerdfont-*
| 61537   | \uf061  |      | *nerdfont-61537* *nerdfont-uf061* *nerdfont-*
| 61538   | \uf062  |      | *nerdfont-61538* *nerdfont-uf062* *nerdfont-*
| 61539   | \uf063  |      | *nerdfont-61539* *nerdfont-uf063* *nerdfont-*
| 61540   | \uf064  |      | *nerdfont-61540* *nerdfont-uf064* *nerdfont-*
| 61541   | \uf065  |      | *nerdfont-61541* *nerdfont-uf065* *nerdfont-*
| 61542   | \uf066  |      | *nerdfont-61542* *nerdfont-uf066* *nerdfont-*
| 61543   | \uf067  |      | *nerdfont-61543* *nerdfont-uf067* *nerdfont-*
| 61544   | \uf068  |      | *nerdfont-61544* *nerdfont-uf068* *nerdfont-*
| 61545   | \uf069  |      | *nerdfont-61545* *nerdfont-uf069* *nerdfont-*
| 61546   | \uf06a  |      | *nerdfont-61546* *nerdfont-uf06a* *nerdfont-*
| 61547   | \uf06b  |      | *nerdfont-61547* *nerdfont-uf06b* *nerdfont-*
| 61548   | \uf06c  |      | *nerdfont-61548* *nerdfont-uf06c* *nerdfont-*
| 61549   | \uf06d  |      | *nerdfont-61549* *nerdfont-uf06d* *nerdfont-*
| 61550   | \uf06e  |      | *nerdfont-61550* *nerdfont-uf06e* *nerdfont-*
| 61552   | \uf070  |      | *nerdfont-61552* *nerdfont-uf070* *nerdfont-*
| 61553   | \uf071  |      | *nerdfont-61553* *nerdfont-uf071* *nerdfont-*
| 61554   | \uf072  |      | *nerdfont-61554* *nerdfont-uf072* *nerdfont-*
| 61555   | \uf073  |      | *nerdfont-61555* *nerdfont-uf073* *nerdfont-*
| 61556   | \uf074  |      | *nerdfont-61556* *nerdfont-uf074* *nerdfont-*
| 61557   | \uf075  |      | *nerdfont-61557* *nerdfont-uf075* *nerdfont-*
| 61558   | \uf076  |      | *nerdfont-61558* *nerdfont-uf076* *nerdfont-*
| 61559   | \uf077  |      | *nerdfont-61559* *nerdfont-uf077* *nerdfont-*
| 61560   | \uf078  |      | *nerdfont-61560* *nerdfont-uf078* *nerdfont-*
| 61561   | \uf079  |      | *nerdfont-61561* *nerdfont-uf079* *nerdfont-*
| 61562   | \uf07a  |      | *nerdfont-61562* *nerdfont-uf07a* *nerdfont-*
| 61563   | \uf07b  |      | *nerdfont-61563* *nerdfont-uf07b* *nerdfont-*
| 61564   | \uf07c  |      | *nerdfont-61564* *nerdfont-uf07c* *nerdfont-*
| 61565   | \uf07d  |      | *nerdfont-61565* *nerdfont-uf07d* *nerdfont-*
| 61566   | \uf07e  |      | *nerdfont-61566* *nerdfont-uf07e* *nerdfont-*
| 61568   | \uf080  |      | *nerdfont-61568* *nerdfont-uf080* *nerdfont-*
| 61569   | \uf081  |      | *nerdfont-61569* *nerdfont-uf081* *nerdfont-*
| 61570   | \uf082  |      | *nerdfont-61570* *nerdfont-uf082* *nerdfont-*
| 61571   | \uf083  |      | *nerdfont-61571* *nerdfont-uf083* *nerdfont-*
| 61572   | \uf084  |      | *nerdfont-61572* *nerdfont-uf084* *nerdfont-*
| 61573   | \uf085  |      | *nerdfont-61573* *nerdfont-uf085* *nerdfont-*
| 61574   | \uf086  |      | *nerdfont-61574* *nerdfont-uf086* *nerdfont-*
| 61575   | \uf087  |      | *nerdfont-61575* *nerdfont-uf087* *nerdfont-*
| 61576   | \uf088  |      | *nerdfont-61576* *nerdfont-uf088* *nerdfont-*
| 61577   | \uf089  |      | *nerdfont-61577* *nerdfont-uf089* *nerdfont-*
| 61578   | \uf08a  |      | *nerdfont-61578* *nerdfont-uf08a* *nerdfont-*
| 61579   | \uf08b  |      | *nerdfont-61579* *nerdfont-uf08b* *nerdfont-*
| 61580   | \uf08c  |      | *nerdfont-61580* *nerdfont-uf08c* *nerdfont-*
| 61581   | \uf08d  |      | *nerdfont-61581* *nerdfont-uf08d* *nerdfont-*
| 61582   | \uf08e  |      | *nerdfont-61582* *nerdfont-uf08e* *nerdfont-*
| 61584   | \uf090  |      | *nerdfont-61584* *nerdfont-uf090* *nerdfont-*
| 61585   | \uf091  |      | *nerdfont-61585* *nerdfont-uf091* *nerdfont-*
| 61586   | \uf092  |      | *nerdfont-61586* *nerdfont-uf092* *nerdfont-*
| 61587   | \uf093  |      | *nerdfont-61587* *nerdfont-uf093* *nerdfont-*
| 61588   | \uf094  |      | *nerdfont-61588* *nerdfont-uf094* *nerdfont-*
| 61589   | \uf095  |      | *nerdfont-61589* *nerdfont-uf095* *nerdfont-*
| 61590   | \uf096  |      | *nerdfont-61590* *nerdfont-uf096* *nerdfont-*
| 61591   | \uf097  |      | *nerdfont-61591* *nerdfont-uf097* *nerdfont-*
| 61592   | \uf098  |      | *nerdfont-61592* *nerdfont-uf098* *nerdfont-*
| 61593   | \uf099  |      | *nerdfont-61593* *nerdfont-uf099* *nerdfont-*
| 61594   | \uf09a  |      | *nerdfont-61594* *nerdfont-uf09a* *nerdfont-*
| 61595   | \uf09b  |      | *nerdfont-61595* *nerdfont-uf09b* *nerdfont-*
| 61596   | \uf09c  |      | *nerdfont-61596* *nerdfont-uf09c* *nerdfont-*
| 61597   | \uf09d  |      | *nerdfont-61597* *nerdfont-uf09d* *nerdfont-*
| 61598   | \uf09e  |      | *nerdfont-61598* *nerdfont-uf09e* *nerdfont-*
| 61600   | \uf0a0  |      | *nerdfont-61600* *nerdfont-uf0a0* *nerdfont-*
| 61601   | \uf0a1  |      | *nerdfont-61601* *nerdfont-uf0a1* *nerdfont-*
| 61602   | \uf0a2  |      | *nerdfont-61602* *nerdfont-uf0a2* *nerdfont-*
| 61603   | \uf0a3  |      | *nerdfont-61603* *nerdfont-uf0a3* *nerdfont-*
| 61604   | \uf0a4  |      | *nerdfont-61604* *nerdfont-uf0a4* *nerdfont-*
| 61605   | \uf0a5  |      | *nerdfont-61605* *nerdfont-uf0a5* *nerdfont-*
| 61606   | \uf0a6  |      | *nerdfont-61606* *nerdfont-uf0a6* *nerdfont-*
| 61607   | \uf0a7  |      | *nerdfont-61607* *nerdfont-uf0a7* *nerdfont-*
| 61608   | \uf0a8  |      | *nerdfont-61608* *nerdfont-uf0a8* *nerdfont-*
| 61609   | \uf0a9  |      | *nerdfont-61609* *nerdfont-uf0a9* *nerdfont-*
| 61610   | \uf0aa  |      | *nerdfont-61610* *nerdfont-uf0aa* *nerdfont-*
| 61611   | \uf0ab  |      | *nerdfont-61611* *nerdfont-uf0ab* *nerdfont-*
| 61612   | \uf0ac  |      | *nerdfont-61612* *nerdfont-uf0ac* *nerdfont-*
| 61613   | \uf0ad  |      | *nerdfont-61613* *nerdfont-uf0ad* *nerdfont-*
| 61614   | \uf0ae  |      | *nerdfont-61614* *nerdfont-uf0ae* *nerdfont-*
| 61616   | \uf0b0  |      | *nerdfont-61616* *nerdfont-uf0b0* *nerdfont-*
| 61617   | \uf0b1  |      | *nerdfont-61617* *nerdfont-uf0b1* *nerdfont-*
| 61618   | \uf0b2  |      | *nerdfont-61618* *nerdfont-uf0b2* *nerdfont-*
| 61632   | \uf0c0  |      | *nerdfont-61632* *nerdfont-uf0c0* *nerdfont-*
| 61633   | \uf0c1  |      | *nerdfont-61633* *nerdfont-uf0c1* *nerdfont-*
| 61634   | \uf0c2  |      | *nerdfont-61634* *nerdfont-uf0c2* *nerdfont-*
| 61635   | \uf0c3  |      | *nerdfont-61635* *nerdfont-uf0c3* *nerdfont-*
| 61636   | \uf0c4  |      | *nerdfont-61636* *nerdfont-uf0c4* *nerdfont-*
| 61637   | \uf0c5  |      | *nerdfont-61637* *nerdfont-uf0c5* *nerdfont-*
| 61638   | \uf0c6  |      | *nerdfont-61638* *nerdfont-uf0c6* *nerdfont-*
| 61639   | \uf0c7  |      | *nerdfont-61639* *nerdfont-uf0c7* *nerdfont-*
| 61640   | \uf0c8  |      | *nerdfont-61640* *nerdfont-uf0c8* *nerdfont-*
| 61641   | \uf0c9  |      | *nerdfont-61641* *nerdfont-uf0c9* *nerdfont-*
| 61642   | \uf0ca  |      | *nerdfont-61642* *nerdfont-uf0ca* *nerdfont-*
| 61643   | \uf0cb  |      | *nerdfont-61643* *nerdfont-uf0cb* *nerdfont-*
| 61644   | \uf0cc  |      | *nerdfont-61644* *nerdfont-uf0cc* *nerdfont-*
| 61645   | \uf0cd  |      | *nerdfont-61645* *nerdfont-uf0cd* *nerdfont-*
| 61646   | \uf0ce  |      | *nerdfont-61646* *nerdfont-uf0ce* *nerdfont-*
| 61648   | \uf0d0  |      | *nerdfont-61648* *nerdfont-uf0d0* *nerdfont-*
| 61649   | \uf0d1  |      | *nerdfont-61649* *nerdfont-uf0d1* *nerdfont-*
| 61650   | \uf0d2  |      | *nerdfont-61650* *nerdfont-uf0d2* *nerdfont-*
| 61651   | \uf0d3  |      | *nerdfont-61651* *nerdfont-uf0d3* *nerdfont-*
| 61652   | \uf0d4  |      | *nerdfont-61652* *nerdfont-uf0d4* *nerdfont-*
| 61653   | \uf0d5  |      | *nerdfont-61653* *nerdfont-uf0d5* *nerdfont-*
| 61654   | \uf0d6  |      | *nerdfont-61654* *nerdfont-uf0d6* *nerdfont-*
| 61655   | \uf0d7  |      | *nerdfont-61655* *nerdfont-uf0d7* *nerdfont-*
| 61656   | \uf0d8  |      | *nerdfont-61656* *nerdfont-uf0d8* *nerdfont-*
| 61657   | \uf0d9  |      | *nerdfont-61657* *nerdfont-uf0d9* *nerdfont-*
| 61658   | \uf0da  |      | *nerdfont-61658* *nerdfont-uf0da* *nerdfont-*
| 61659   | \uf0db  |      | *nerdfont-61659* *nerdfont-uf0db* *nerdfont-*
| 61660   | \uf0dc  |      | *nerdfont-61660* *nerdfont-uf0dc* *nerdfont-*
| 61661   | \uf0dd  |      | *nerdfont-61661* *nerdfont-uf0dd* *nerdfont-*
| 61662   | \uf0de  |      | *nerdfont-61662* *nerdfont-uf0de* *nerdfont-*
| 61664   | \uf0e0  |      | *nerdfont-61664* *nerdfont-uf0e0* *nerdfont-*
| 61665   | \uf0e1  |      | *nerdfont-61665* *nerdfont-uf0e1* *nerdfont-*
