*devicons.txt*  Nerd Font Cheatsheets - Devicons

===============================================================================
																	*devicons*
Nerd Font - Devicons ~

| Decimal | Unicode | Glyph |
| 59205   | \ue745  |      | *nerdfont-59205* *nerdfont-ue745* *nerdfont-*
| 59206   | \ue746  |      | *nerdfont-59206* *nerdfont-ue746* *nerdfont-*
| 59207   | \ue747  |      | *nerdfont-59207* *nerdfont-ue747* *nerdfont-*
| 59208   | \ue748  |      | *nerdfont-59208* *nerdfont-ue748* *nerdfont-*
| 59209   | \ue749  |      | *nerdfont-59209* *nerdfont-ue749* *nerdfont-*
| 59210   | \ue74a  |      | *nerdfont-59210* *nerdfont-ue74a* *nerdfont-*
| 59211   | \ue74b  |      | *nerdfont-59211* *nerdfont-ue74b* *nerdfont-*
| 59212   | \ue74c  |      | *nerdfont-59212* *nerdfont-ue74c* *nerdfont-*
| 59213   | \ue74d  |      | *nerdfont-59213* *nerdfont-ue74d* *nerdfont-*
| 59214   | \ue74e  |      | *nerdfont-59214* *nerdfont-ue74e* *nerdfont-*
| 59215   | \ue74f  |      | *nerdfont-59215* *nerdfont-ue74f* *nerdfont-*
| 59216   | \ue750  |      | *nerdfont-59216* *nerdfont-ue750* *nerdfont-*
| 59217   | \ue751  |      | *nerdfont-59217* *nerdfont-ue751* *nerdfont-*
| 59218   | \ue752  |      | *nerdfont-59218* *nerdfont-ue752* *nerdfont-*
| 59219   | \ue753  |      | *nerdfont-59219* *nerdfont-ue753* *nerdfont-*
| 59220   | \ue754  |      | *nerdfont-59220* *nerdfont-ue754* *nerdfont-*
| 59221   | \ue755  |      | *nerdfont-59221* *nerdfont-ue755* *nerdfont-*
| 59222   | \ue756  |      | *nerdfont-59222* *nerdfont-ue756* *nerdfont-*
| 59223   | \ue757  |      | *nerdfont-59223* *nerdfont-ue757* *nerdfont-*
| 59224   | \ue758  |      | *nerdfont-59224* *nerdfont-ue758* *nerdfont-*
| 59225   | \ue759  |      | *nerdfont-59225* *nerdfont-ue759* *nerdfont-*
| 59226   | \ue75a  |      | *nerdfont-59226* *nerdfont-ue75a* *nerdfont-*
| 59227   | \ue75b  |      | *nerdfont-59227* *nerdfont-ue75b* *nerdfont-*
| 59228   | \ue75c  |      | *nerdfont-59228* *nerdfont-ue75c* *nerdfont-*
| 59229   | \ue75d  |      | *nerdfont-59229* *nerdfont-ue75d* *nerdfont-*
| 59230   | \ue75e  |      | *nerdfont-59230* *nerdfont-ue75e* *nerdfont-*
| 59231   | \ue75f  |      | *nerdfont-59231* *nerdfont-ue75f* *nerdfont-*
| 59232   | \ue760  |      | *nerdfont-59232* *nerdfont-ue760* *nerdfont-*
