*octicons.txt*  Nerd Font Cheatsheets - Octicons

===============================================================================
														            *octicons*
Nerd Font - Octicons ~

| Decimal | Unicode | Glyph |
| 62533   | \uf445  |      | *nerdfont-62533* *nerdfont-uf445* *nerdfont-*
| 62534   | \uf446  |      | *nerdfont-62534* *nerdfont-uf446* *nerdfont-*
| 62535   | \uf447  |      | *nerdfont-62535* *nerdfont-uf447* *nerdfont-*
| 62536   | \uf448  |      | *nerdfont-62536* *nerdfont-uf448* *nerdfont-*
| 62537   | \uf449  |      | *nerdfont-62537* *nerdfont-uf449* *nerdfont-*
| 62538   | \uf44a  |      | *nerdfont-62538* *nerdfont-uf44a* *nerdfont-*
| 62539   | \uf44b  |      | *nerdfont-62539* *nerdfont-uf44b* *nerdfont-*
| 62540   | \uf44c  |      | *nerdfont-62540* *nerdfont-uf44c* *nerdfont-*
| 62541   | \uf44d  |      | *nerdfont-62541* *nerdfont-uf44d* *nerdfont-*
| 62542   | \uf44e  |      | *nerdfont-62542* *nerdfont-uf44e* *nerdfont-*
| 62543   | \uf44f  |      | *nerdfont-62543* *nerdfont-uf44f* *nerdfont-*
| 62544   | \uf450  |      | *nerdfont-62544* *nerdfont-uf450* *nerdfont-*
| 62545   | \uf451  |      | *nerdfont-62545* *nerdfont-uf451* *nerdfont-*
| 62546   | \uf452  |      | *nerdfont-62546* *nerdfont-uf452* *nerdfont-*
| 62547   | \uf453  |      | *nerdfont-62547* *nerdfont-uf453* *nerdfont-*
| 62548   | \uf454  |      | *nerdfont-62548* *nerdfont-uf454* *nerdfont-*
| 62549   | \uf455  |      | *nerdfont-62549* *nerdfont-uf455* *nerdfont-*
| 62550   | \uf456  |      | *nerdfont-62550* *nerdfont-uf456* *nerdfont-*
| 62551   | \uf457  |      | *nerdfont-62551* *nerdfont-uf457* *nerdfont-*
| 62552   | \uf458  |      | *nerdfont-62552* *nerdfont-uf458* *nerdfont-*
| 62553   | \uf459  |      | *nerdfont-62553* *nerdfont-uf459* *nerdfont-*
| 62554   | \uf45a  |      | *nerdfont-62554* *nerdfont-uf45a* *nerdfont-*
| 62555   | \uf45b  |      | *nerdfont-62555* *nerdfont-uf45b* *nerdfont-*
| 62556   | \uf45c  |      | *nerdfont-62556* *nerdfont-uf45c* *nerdfont-*
| 62557   | \uf45d  |      | *nerdfont-62557* *nerdfont-uf45d* *nerdfont-*
| 62558   | \uf45e  |      | *nerdfont-62558* *nerdfont-uf45e* *nerdfont-*
| 62559   | \uf45f  |      | *nerdfont-62559* *nerdfont-uf45f* *nerdfont-*
| 62560   | \uf460  |      | *nerdfont-62560* *nerdfont-uf460* *nerdfont-*
| 62561   | \uf461  |      | *nerdfont-62561* *nerdfont-uf461* *nerdfont-*
| 62562   | \uf462  |      | *nerdfont-62562* *nerdfont-uf462* *nerdfont-*
| 62563   | \uf463  |      | *nerdfont-62563* *nerdfont-uf463* *nerdfont-*
| 62564   | \uf464  |      | *nerdfont-62564* *nerdfont-uf464* *nerdfont-*
| 62565   | \uf465  |      | *nerdfont-62565* *nerdfont-uf465* *nerdfont-*
| 62566   | \uf466  |      | *nerdfont-62566* *nerdfont-uf466* *nerdfont-*
| 62567   | \uf467  |      | *nerdfont-62567* *nerdfont-uf467* *nerdfont-*
| 62568   | \uf468  |      | *nerdfont-62568* *nerdfont-uf468* *nerdfont-*
| 62569   | \uf469  |      | *nerdfont-62569* *nerdfont-uf469* *nerdfont-*
| 62570   | \uf46a  |      | *nerdfont-62570* *nerdfont-uf46a* *nerdfont-*
| 62571   | \uf46b  |      | *nerdfont-62571* *nerdfont-uf46b* *nerdfont-*
| 62572   | \uf46c  |      | *nerdfont-62572* *nerdfont-uf46c* *nerdfont-*
| 62573   | \uf46d  |      | *nerdfont-62573* *nerdfont-uf46d* *nerdfont-*
| 62574   | \uf46e  |      | *nerdfont-62574* *nerdfont-uf46e* *nerdfont-*
| 62575   | \uf46f  |      | *nerdfont-62575* *nerdfont-uf46f* *nerdfont-*
| 62576   | \uf470  |      | *nerdfont-62576* *nerdfont-uf470* *nerdfont-*
| 62577   | \uf471  |      | *nerdfont-62577* *nerdfont-uf471* *nerdfont-*
| 62578   | \uf472  |      | *nerdfont-62578* *nerdfont-uf472* *nerdfont-*
| 62579   | \uf473  |      | *nerdfont-62579* *nerdfont-uf473* *nerdfont-*
| 62580   | \uf474  |      | *nerdfont-62580* *nerdfont-uf474* *nerdfont-*
| 62581   | \uf475  |      | *nerdfont-62581* *nerdfont-uf475* *nerdfont-*
| 62582   | \uf476  |      | *nerdfont-62582* *nerdfont-uf476* *nerdfont-*
| 62583   | \uf477  |      | *nerdfont-62583* *nerdfont-uf477* *nerdfont-*
| 62584   | \uf478  |      | *nerdfont-62584* *nerdfont-uf478* *nerdfont-*
| 62585   | \uf479  |      | *nerdfont-62585* *nerdfont-uf479* *nerdfont-*
| 62586   | \uf47a  |      | *nerdfont-62586* *nerdfont-uf47a* *nerdfont-*
| 62587   | \uf47b  |      | *nerdfont-62587* *nerdfont-uf47b* *nerdfont-*
| 62588   | \uf47c  |      | *nerdfont-62588* *nerdfont-uf47c* *nerdfont-*
| 62589   | \uf47d  |      | *nerdfont-62589* *nerdfont-uf47d* *nerdfont-*
| 62590   | \uf47e  |      | *nerdfont-62590* *nerdfont-uf47e* *nerdfont-*
| 62591   | \uf47f  |      | *nerdfont-62591* *nerdfont-uf47f* *nerdfont-*
| 62592   | \uf480  |      | *nerdfont-62592* *nerdfont-uf480* *nerdfont-*
| 62593   | \uf481  |      | *nerdfont-62593* *nerdfont-uf481* *nerdfont-*
| 62594   | \uf482  |      | *nerdfont-62594* *nerdfont-uf482* *nerdfont-*
| 62595   | \uf483  |      | *nerdfont-62595* *nerdfont-uf483* *nerdfont-*
| 62596   | \uf484  |      | *nerdfont-62596* *nerdfont-uf484* *nerdfont-*
| 62597   | \uf485  |      | *nerdfont-62597* *nerdfont-uf485* *nerdfont-*
| 62598   | \uf486  |      | *nerdfont-62598* *nerdfont-uf486* *nerdfont-*
| 62599   | \uf487  |      | *nerdfont-62599* *nerdfont-uf487* *nerdfont-*
| 62600   | \uf488  |      | *nerdfont-62600* *nerdfont-uf488* *nerdfont-*
| 62601   | \uf489  |      | *nerdfont-62601* *nerdfont-uf489* *nerdfont-*
| 62602   | \uf48a  |      | *nerdfont-62602* *nerdfont-uf48a* *nerdfont-*
| 62603   | \uf48b  |      | *nerdfont-62603* *nerdfont-uf48b* *nerdfont-*
| 62604   | \uf48c  |      | *nerdfont-62604* *nerdfont-uf48c* *nerdfont-*
| 62605   | \uf48d  |      | *nerdfont-62605* *nerdfont-uf48d* *nerdfont-*
| 62606   | \uf48e  |      | *nerdfont-62606* *nerdfont-uf48e* *nerdfont-*
| 62607   | \uf48f  |      | *nerdfont-62607* *nerdfont-uf48f* *nerdfont-*
| 62608   | \uf490  |      | *nerdfont-62608* *nerdfont-uf490* *nerdfont-*
| 62609   | \uf491  |      | *nerdfont-62609* *nerdfont-uf491* *nerdfont-*
| 62610   | \uf492  |      | *nerdfont-62610* *nerdfont-uf492* *nerdfont-*
| 62611   | \uf493  |      | *nerdfont-62611* *nerdfont-uf493* *nerdfont-*
| 62612   | \uf494  |      | *nerdfont-62612* *nerdfont-uf494* *nerdfont-*
| 62613   | \uf495  |      | *nerdfont-62613* *nerdfont-uf495* *nerdfont-*
| 62614   | \uf496  |      | *nerdfont-62614* *nerdfont-uf496* *nerdfont-*
| 62615   | \uf497  |      | *nerdfont-62615* *nerdfont-uf497* *nerdfont-*
| 62616   | \uf498  |      | *nerdfont-62616* *nerdfont-uf498* *nerdfont-*
| 62617   | \uf499  |      | *nerdfont-62617* *nerdfont-uf499* *nerdfont-*
| 62618   | \uf49a  |      | *nerdfont-62618* *nerdfont-uf49a* *nerdfont-*
| 62619   | \uf49b  |      | *nerdfont-62619* *nerdfont-uf49b* *nerdfont-*
| 62620   | \uf49c  |      | *nerdfont-62620* *nerdfont-uf49c* *nerdfont-*
| 62621   | \uf49d  |      | *nerdfont-62621* *nerdfont-uf49d* *nerdfont-*
| 62622   | \uf49e  |      | *nerdfont-62622* *nerdfont-uf49e* *nerdfont-*
| 62623   | \uf49f  |      | *nerdfont-62623* *nerdfont-uf49f* *nerdfont-*
| 62624   | \uf4a0  |      | *nerdfont-62624* *nerdfont-uf4a0* *nerdfont-*
| 62625   | \uf4a1  |      | *nerdfont-62625* *nerdfont-uf4a1* *nerdfont-*
| 62626   | \uf4a2  |      | *nerdfont-62626* *nerdfont-uf4a2* *nerdfont-*
| 62627   | \uf4a3  |      | *nerdfont-62627* *nerdfont-uf4a3* *nerdfont-*
| 62628   | \uf4a4  |      | *nerdfont-62628* *nerdfont-uf4a4* *nerdfont-*
| 62629   | \uf4a5  |      | *nerdfont-62629* *nerdfont-uf4a5* *nerdfont-*
| 62630   | \uf4a6  |      | *nerdfont-62630* *nerdfont-uf4a6* *nerdfont-*
| 62631   | \uf4a7  |      | *nerdfont-62631* *nerdfont-uf4a7* *nerdfont-*
| 62632   | \uf4a8  |      | *nerdfont-62632* *nerdfont-uf4a8* *nerdfont-*
| 63100   | \uf67c  |      | *nerdfont-63100* *nerdfont-uf67c* *nerdfont-*

vim: ft=help
