*font-awesome-extensions.txt*  Nerd Font Cheatsheets - Font Awesome Extensions

===============================================================================
													  *font-awesome-extension*
Nerd Font - Font Awesome Extensions ~

| Decimal | Unicode | Glyph |
| 57925   | \ue245  |      | *nerdfont-57925* *nerdfont-ue245* *nerdfont-*
| 57926   | \ue246  |      | *nerdfont-57926* *nerdfont-ue246* *nerdfont-*
| 57927   | \ue247  |      | *nerdfont-57927* *nerdfont-ue247* *nerdfont-*
| 57928   | \ue248  |      | *nerdfont-57928* *nerdfont-ue248* *nerdfont-*
| 57929   | \ue249  |      | *nerdfont-57929* *nerdfont-ue249* *nerdfont-*
| 57930   | \ue24a  |      | *nerdfont-57930* *nerdfont-ue24a* *nerdfont-*
| 57931   | \ue24b  |      | *nerdfont-57931* *nerdfont-ue24b* *nerdfont-*
| 57932   | \ue24c  |      | *nerdfont-57932* *nerdfont-ue24c* *nerdfont-*
| 57933   | \ue24d  |      | *nerdfont-57933* *nerdfont-ue24d* *nerdfont-*
| 57934   | \ue24e  |      | *nerdfont-57934* *nerdfont-ue24e* *nerdfont-*
| 57935   | \ue24f  |      | *nerdfont-57935* *nerdfont-ue24f* *nerdfont-*
| 57936   | \ue250  |      | *nerdfont-57936* *nerdfont-ue250* *nerdfont-*
| 57937   | \ue251  |      | *nerdfont-57937* *nerdfont-ue251* *nerdfont-*
| 57938   | \ue252  |      | *nerdfont-57938* *nerdfont-ue252* *nerdfont-*
| 57939   | \ue253  |      | *nerdfont-57939* *nerdfont-ue253* *nerdfont-*
| 57940   | \ue254  |      | *nerdfont-57940* *nerdfont-ue254* *nerdfont-*
| 57941   | \ue255  |      | *nerdfont-57941* *nerdfont-ue255* *nerdfont-*
| 57942   | \ue256  |      | *nerdfont-57942* *nerdfont-ue256* *nerdfont-*
| 57943   | \ue257  |      | *nerdfont-57943* *nerdfont-ue257* *nerdfont-*
| 57944   | \ue258  |      | *nerdfont-57944* *nerdfont-ue258* *nerdfont-*
| 57945   | \ue259  |      | *nerdfont-57945* *nerdfont-ue259* *nerdfont-*
| 57946   | \ue25a  |      | *nerdfont-57946* *nerdfont-ue25a* *nerdfont-*
| 57947   | \ue25b  |      | *nerdfont-57947* *nerdfont-ue25b* *nerdfont-*
| 57948   | \ue25c  |      | *nerdfont-57948* *nerdfont-ue25c* *nerdfont-*
| 57949   | \ue25d  |      | *nerdfont-57949* *nerdfont-ue25d* *nerdfont-*
| 57950   | \ue25e  |      | *nerdfont-57950* *nerdfont-ue25e* *nerdfont-*
| 57951   | \ue25f  |      | *nerdfont-57951* *nerdfont-ue25f* *nerdfont-*
| 57952   | \ue260  |      | *nerdfont-57952* *nerdfont-ue260* *nerdfont-*
| 57953   | \ue261  |      | *nerdfont-57953* *nerdfont-ue261* *nerdfont-*
| 57954   | \ue262  |      | *nerdfont-57954* *nerdfont-ue262* *nerdfont-*
| 57955   | \ue263  |      | *nerdfont-57955* *nerdfont-ue263* *nerdfont-*
| 57956   | \ue264  |      | *nerdfont-57956* *nerdfont-ue264* *nerdfont-*
| 57957   | \ue265  |      | *nerdfont-57957* *nerdfont-ue265* *nerdfont-*
| 57958   | \ue266  |      | *nerdfont-57958* *nerdfont-ue266* *nerdfont-*
| 57959   | \ue267  |      | *nerdfont-57959* *nerdfont-ue267* *nerdfont-*
| 57960   | \ue268  |      | *nerdfont-57960* *nerdfont-ue268* *nerdfont-*
| 57961   | \ue269  |      | *nerdfont-57961* *nerdfont-ue269* *nerdfont-*
