*iec-power-symbols.txt*  Nerd Font Cheatsheets - IEC Power Symbols

===============================================================================
														   *iec-power-symbols*
Nerd Font - IEC Power Symbols ~

| Decimal | Unicode | Glyph |
| 09320   | \u2468  | ⑨     | *nerdfont-09320* *nerdfont-u2468* *nerdfont-⑨*
| 09321   | \u2469  | ⑩     | *nerdfont-09321* *nerdfont-u2469* *nerdfont-⑩*
| 09322   | \u246a  | ⑪     | *nerdfont-09322* *nerdfont-u246a* *nerdfont-⑪*
| 09323   | \u246b  | ⑫     | *nerdfont-09323* *nerdfont-u246b* *nerdfont-⑫*
| 09324   | \u246c  | ⑬     | *nerdfont-09324* *nerdfont-u246c* *nerdfont-⑬*
| 09325   | \u246d  | ⑭     | *nerdfont-09325* *nerdfont-u246d* *nerdfont-⑭*
| 09326   | \u246e  | ⑮     | *nerdfont-09326* *nerdfont-u246e* *nerdfont-⑮*
| 09327   | \u246f  | ⑯     | *nerdfont-09327* *nerdfont-u246f* *nerdfont-⑯*
| 09328   | \u2470  | ⑰     | *nerdfont-09328* *nerdfont-u2470* *nerdfont-⑰*
| 09329   | \u2471  | ⑱     | *nerdfont-09329* *nerdfont-u2471* *nerdfont-⑱*
| 09330   | \u2472  | ⑲     | *nerdfont-09330* *nerdfont-u2472* *nerdfont-⑲*
| 09331   | \u2473  | ⑳     | *nerdfont-09331* *nerdfont-u2473* *nerdfont-⑳*
| 09332   | \u2474  | ⑴     | *nerdfont-09332* *nerdfont-u2474* *nerdfont-⑴*
| 09333   | \u2475  | ⑵     | *nerdfont-09333* *nerdfont-u2475* *nerdfont-⑵*
| 09334   | \u2476  | ⑶     | *nerdfont-09334* *nerdfont-u2476* *nerdfont-⑶*
| 09335   | \u2477  | ⑷     | *nerdfont-09335* *nerdfont-u2477* *nerdfont-⑷*
| 09336   | \u2478  | ⑸     | *nerdfont-09336* *nerdfont-u2478* *nerdfont-⑸*
| 09337   | \u2479  | ⑹     | *nerdfont-09337* *nerdfont-u2479* *nerdfont-⑹*
| 09338   | \u247a  | ⑺     | *nerdfont-09338* *nerdfont-u247a* *nerdfont-⑺*
| 09339   | \u247b  | ⑻     | *nerdfont-09339* *nerdfont-u247b* *nerdfont-⑻*
| 09340   | \u247c  | ⑼     | *nerdfont-09340* *nerdfont-u247c* *nerdfont-⑼*
| 09341   | \u247d  | ⑽     | *nerdfont-09341* *nerdfont-u247d* *nerdfont-⑽*
| 09342   | \u247e  | ⑾     | *nerdfont-09342* *nerdfont-u247e* *nerdfont-⑾*
| 09343   | \u247f  | ⑿     | *nerdfont-09343* *nerdfont-u247f* *nerdfont-⑿*
| 09344   | \u2480  | ⒀     | *nerdfont-09344* *nerdfont-u2480* *nerdfont-⒀*
| 09345   | \u2481  | ⒁     | *nerdfont-09345* *nerdfont-u2481* *nerdfont-⒁*
| 09346   | \u2482  | ⒂     | *nerdfont-09346* *nerdfont-u2482* *nerdfont-⒂*
| 09347   | \u2483  | ⒃     | *nerdfont-09347* *nerdfont-u2483* *nerdfont-⒃*
